#options: 2580x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5070 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:75 out:76 type:b dur:2 cpbdur:2 q:36.02 aq:31.05 tex:6197 mv:13975 misc:4524 imb:113 pmb:1188 smb:9715 d:- ref:0 ;
in:78 out:77 type:P dur:2 cpbdur:2 q:36.12 aq:27.93 tex:67054 mv:31862 misc:8740 imb:1691 pmb:2279 smb:7046 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:36.10 aq:31.55 tex:7908 mv:14046 misc:4766 imb:152 pmb:1260 smb:9604 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:36.03 aq:27.28 tex:153120 mv:50302 misc:7554 imb:3167 pmb:2996 smb:4853 d:- ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:36.08 aq:30.66 tex:20717 mv:25079 misc:6876 imb:357 pmb:1994 smb:8665 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:36.10 aq:31.76 tex:15986 mv:23247 misc:5983 imb:352 pmb:1754 smb:8910 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:36.06 aq:33.02 tex:5999 mv:12664 misc:4561 imb:49 pmb:1323 smb:9644 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:35.99 aq:28.05 tex:44680 mv:29099 misc:8261 imb:963 pmb:2344 smb:7709 d:- ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:36.01 aq:31.96 tex:10354 mv:17804 misc:5298 imb:84 pmb:1646 smb:9286 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:36.02 aq:34.94 tex:4689 mv:11406 misc:4001 imb:25 pmb:1145 smb:9846 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:36.00 aq:34.42 tex:3589 mv:11110 misc:4133 imb:52 pmb:1116 smb:9848 d:- ref:0 ;
in:88 out:87 type:P dur:2 cpbdur:2 q:35.85 aq:27.91 tex:72873 mv:38818 misc:8685 imb:1627 pmb:2763 smb:6626 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:35.92 aq:30.20 tex:8265 mv:19165 misc:5282 imb:165 pmb:1558 smb:9293 d:- ref:0 ;
in:90 out:89 type:P dur:2 cpbdur:2 q:35.85 aq:28.35 tex:61307 mv:33296 misc:8181 imb:1157 pmb:2523 smb:7336 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:35.85 aq:32.78 tex:7543 mv:16216 misc:4641 imb:114 pmb:1334 smb:9568 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:35.82 aq:28.24 tex:52424 mv:29242 misc:8246 imb:917 pmb:2371 smb:7728 d:- ref:0 ;
in:93 out:92 type:P dur:2 cpbdur:2 q:35.74 aq:27.53 tex:101608 mv:39101 misc:8619 imb:1855 pmb:2744 smb:6417 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:35.78 aq:32.39 tex:14256 mv:20560 misc:5688 imb:281 pmb:1584 smb:9151 d:- ref:0 ;
